"specie","reconstruction_log_probability","percentile","clusterunif"
"Falco subbuteo",-2.772778988,"25p-50p","medium"
"Numenius phaeopus",-2.584280491,"25p-50p","medium"
"Oriolus oriolus",-2.936650991,"25p-50p","medium"
"Charadrius alexandrinus",-2.983302116,"25p-50p","medium"
"Jynx torquilla",-2.573253632,"25p-50p","medium"
"Pernis apivorus",-2.535858154,"25p-50p","medium"
"Phylloscopus trochilus",-2.505690336,"25p-50p","medium"
"Turdus philomelos",-3.054433107,"25p-50p","medium"
"Haematopus ostralegus",-2.732645273,"25p-50p","medium"
"Oxythyrea funesta",-2.593351126,"25p-50p","medium"
"Prunella modularis",-2.739229918,"25p-50p","medium"
"Calidris ferruginea",-2.983155966,"25p-50p","medium"
"Certhia brachydactyla",-2.794052124,"25p-50p","medium"
"Linaria cannabina",-3.282461405,"25p-50p","medium"
"Maniola jurtina",-2.783317566,"25p-50p","medium"
"Tringa stagnatilis",-2.491792202,"25p-50p","medium"
"Vanessa atalanta",-2.984843493,"25p-50p","medium"
"Aythya nyroca",-3.012642622,"25p-50p","medium"
"Colias croceus",-2.528941393,"25p-50p","medium"
"Limosa limosa",-3.012997866,"25p-50p","medium"
"Ochlodes sylvanus",-2.961246252,"25p-50p","medium"
"Phoenicurus phoenicurus",-2.473889112,"25p-50p","medium"
"Lasiommata megera",-2.447202206,"25p-50p","medium"
"Circaetus gallicus",-2.580853224,"25p-50p","medium"
"Ptyonoprogne rupestris",-2.547909975,"25p-50p","medium"
"Procambarus clarkii",-2.633719444,"25p-50p","medium"
"Trachemys scripta",-2.773462534,"25p-50p","medium"
"Aglais io",-2.65857482,"25p-50p","medium"
"Celastrina argiolus",-2.715048552,"25p-50p","medium"
"Sylvia borin",-2.461624622,"25p-50p","medium"
"Camponotus vagus",-2.622503519,"25p-50p","medium"
"Cetonia aurata",-2.64768815,"25p-50p","medium"
"Chlidonias hybrida",-2.660928011,"25p-50p","medium"
"Panurus biarmicus",-2.398261547,"25p-50p","low"
"Periparus ater",-2.495682716,"25p-50p","medium"
"Poecile palustris",-2.595567703,"25p-50p","medium"
"Acrocephalus scirpaceus",-3.661987543,"25p-50p","medium"
"Apus apus",-3.677711487,"25p-50p","medium"
"Streptopelia turtur",-3.75419569,"25p-50p","medium"
"Motacilla flava",-3.663557768,"25p-50p","medium"
"Chloris chloris",-3.513581038,"25p-50p","medium"
"Pandion haliaetus",-3.576258659,"25p-50p","medium"
"Anthus pratensis",-3.534920454,"25p-50p","medium"
"Tringa glareola",-3.409947395,"25p-50p","medium"
"Gallinago gallinago",-3.753270388,"25p-50p","medium"
"Calidris pugnax",-3.575752735,"25p-50p","medium"
"Charadrius dubius",-3.352440596,"25p-50p","medium"
"Ichthyaetus melanocephalus",-3.525657892,"25p-50p","medium"
"Charadrius hiaticula",-3.704728842,"25p-50p","medium"
"Thalasseus sandvicensis",-3.695349693,"25p-50p","medium"
"Sternula albifrons",-3.579980373,"25p-50p","medium"
"Crocothemis erythraea",-2.34851408,"50p-75p","low"
"Pararge aegeria",-2.218604088,"50p-75p","low"
"Vanessa cardui",-2.299531698,"50p-75p","low"
"Polyommatus icarus",-2.392500162,"50p-75p","low"
"Gelochelidon nilotica",-2.320297241,"50p-75p","low"
"Acrocephalus schoenobaenus",-2.187084436,"50p-75p","low"
"Athene noctua",-1.98508954,"50p-75p","low"
"Botaurus stellaris",-2.288648844,"50p-75p","low"
"Calidris alba",-2.111652613,"50p-75p","low"
"Colias crocea",-2.370645761,"50p-75p","low"
"Regulus regulus",-2.263499975,"50p-75p","low"
"Trithemis annulata",-2.111996889,"50p-75p","low"
"Acrocephalus melanopogon",-2.121897221,"50p-75p","low"
"Hieraaetus pennatus",-2.260926008,"50p-75p","low"
"Tarentola mauritanica",-2.048713207,"50p-75p","low"
"Papilio machaon",-2.061858177,"50p-75p","low"
"Locustella luscinioides",-2.214125156,"50p-75p","low"
"Fringilla montifringilla",-1.842769265,"50p-75p","low"
"Dama dama",-2.156494617,"50p-75p","low"
"Sympetrum striolatum",-2.173620701,"50p-75p","low"
"Anacridium aegyptium",-2.30582571,"50p-75p","low"
"Larus canus",-1.769280314,"50p-75p","low"
"Sus scrofa",-2.325058937,"50p-75p","low"
"Aeshna mixta",-2.315081835,"50p-75p","low"
"Anax parthenope",-1.969886661,"50p-75p","low"
"Apus melba",-1.884058714,"50p-75p","low"
"Chlidonias niger",-2.282787085,"50p-75p","low"
"Halyomorpha halys",-2.16801095,"50p-75p","low"
"Larus fuscus",-1.847942591,"50p-75p","low"
"Leptotes pirithous",-2.164934158,"50p-75p","low"
"Lycaena phlaeas",-2.075443029,"50p-75p","low"
"Macroglossum stellatarum",-1.745378971,"50p-75p","low"
"Orthetrum coerulescens",-1.721892238,"50p-75p","low"
"Amata phegea",-2.142637968,"50p-75p","low"
"Ameles spallanzania",-1.820200086,"50p-75p","low"
"Anthus trivialis",-2.081267357,"50p-75p","low"
"Corvus corax",-1.952261806,"50p-75p","low"
"Emberiza cirlus",-2.105213881,"50p-75p","low"
"Graphosoma italicum",-1.795012355,"50p-75p","low"
"Hippolais polyglotta",-2.23545146,"50p-75p","low"
"Lanius senator",-1.814321399,"50p-75p","low"
"Oedipoda caerulescens",-1.979047298,"50p-75p","low"
"Otus scops",-1.875862837,"50p-75p","low"
"Pieris rapae",-2.187724113,"50p-75p","low"
"Satyrium ilicis",-1.936489105,"50p-75p","low"
"Thomisus onustus",-2.323524237,"50p-75p","low"
"Vespa crabro",-2.3889184,"50p-75p","low"
"Vulpes vulpes",-1.730685592,"50p-75p","low"
"Acrocephalus palustris",-2.182682991,"50p-75p","low"
"Argiope bruennichi",-1.898295522,"50p-75p","low"
"Chlidonias leucopterus",-1.936155677,"50p-75p","low"
"Coccothraustes coccothraustes",-1.798940778,"50p-75p","low"
"Coreus marginatus",-2.15407753,"50p-75p","low"
"Coturnix coturnix",-2.076307535,"50p-75p","low"
"Curruca cantillans",-2.026957512,"50p-75p","low"
"Curruca communis",-2.283302546,"50p-75p","low"
"Curruca curruca",-2.188530684,"50p-75p","low"
"Ematurga atomaria",-1.774966955,"50p-75p","low"
"Eobania vermiculata",-2.019117594,"50p-75p","low"
