Specie,Multi K-means,X-means,VAE,Ensemble assessment
Remiz pendulinus,medium,medium,medium,medium
Riparia riparia,low,medium,medium,medium
Saxicola rubetra,low,medium,medium,medium
Saxicola rubicola,medium,high,high,high
Serinus serinus,medium,high,high,medium
Silurus glanis,low,low,low,low
Sitta europaea,medium,medium,medium,medium
Spatula clypeata,high,high,high,high
Spatula querquedula,medium,medium,medium,medium
Spinus spinus,medium,medium,medium,medium
Sterna hirundo,medium,high,high,medium
Streptopelia decaocto,high,high,high,high
Streptopelia turtur,medium,high,medium,medium
Sturnus vulgaris,high,high,high,high
Sylvia atricapilla,high,high,high,high
Sympetrum fonscolombii,low,medium,medium,medium
Sympetrum sanguineum,medium,medium,high,medium
Sympetrum striolatum,low,low,low,low
Tachybaptus ruficollis,high,high,high,high
Tadorna tadorna,high,high,high,high
Tarentola mauritanica,low,low,low,low
Threskiornis aethiopicus,medium,medium,medium,medium
Tringa erythropus,high,high,high,high
Tringa glareola,medium,high,medium,medium
Tringa nebularia,high,high,high,high
Tringa ochropus,medium,medium,medium,medium
Tringa totanus,high,high,high,high
Trithemis annulata,low,low,low,low
Troglodytes troglodytes,medium,high,high,medium
Turdus merula,high,high,high,high
Turdus philomelos,medium,medium,medium,medium
Tyto alba,low,low,low,low
Vanellus vanellus,high,high,high,high
Vanessa cardui,low,medium,low,medium
Xylocopa violacea,low,low,low,low
