specieex,experts,specieclu,clusterunif
Anthus pratensis,medium,Anthus pratensis,medium
Calidris minuta,medium,Calidris minuta,medium
Calidris pugnax,medium,Calidris pugnax,medium
Circus cyaneus,medium,Circus cyaneus,medium
Cuculus canorus,medium,Cuculus canorus,medium
Dama dama,medium,Dama dama,medium
Falco subbuteo,medium,Falco subbuteo,medium
Fringilla montifringilla,medium,Fringilla montifringilla,medium
Hydrocoloeus minutus,medium,Hydrocoloeus minutus,medium
Lasiommata megera,medium,Lasiommata megera,medium
Motacilla cinerea,medium,Motacilla cinerea,medium
Netta rufina,medium,Netta rufina,medium
Numenius phaeopus,medium,Numenius phaeopus,medium
Oriolus oriolus,medium,Oriolus oriolus,medium
Pararge aegeria,medium,Pararge aegeria,medium
Phylloscopus trochilus,medium,Phylloscopus trochilus,medium
Polyommatus icarus,medium,Polyommatus icarus,medium
Procambarus clarkii,medium,Procambarus clarkii,medium
Prunella modularis,medium,Prunella modularis,medium
Riparia riparia,medium,Riparia riparia,medium
Sitta europaea,medium,Sitta europaea,medium
Spinus spinus,medium,Spinus spinus,medium
Sympetrum striolatum,medium,Sympetrum striolatum,medium
Threskiornis aethiopicus,medium,Threskiornis aethiopicus,medium
Tringa ochropus,medium,Tringa ochropus,medium
Turdus philomelos,medium,Turdus philomelos,medium
Vanessa cardui,medium,Vanessa cardui,medium
