specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO
Falco columbarius,3.54E-08,2.52E-07,0.210526316,0.140350877,0.00206762,0.125,0
Falco peregrinus,2.85E-07,8.55E-07,1.385964912,0.333333333,0.003203463,0.242105263,0
Gallinago gallinago,9.72E-07,1.79E-06,3.701754386,0.543859649,0.004677996,0.312903226,0.016129032
Lasiommata megera,1.48E-07,1.05E-06,0.543859649,0.140350877,0.007075813,0.2,0.0125
Papilio machaon,7.19E-08,3.73E-07,0.684210526,0.192982456,0.002814139,0.209090909,0
Tringa nebularia,1.08E-06,1.99E-06,9.614035088,0.543859649,0.006518454,0.429032258,0.103225806
Accipiter nisus,4.81E-07,1.10E-06,2.228070175,0.438596491,0.004387157,0.284,0.008
Actitis hypoleucos,1.04E-06,1.75E-06,8.49122807,0.596491228,0.005674854,0.408823529,0.082352941
Anthus spinoletta,2.75E-07,8.24E-07,1.649122807,0.333333333,0.003035553,0.247368421,0.010526316
Calidris pugnax,4.64E-07,1.02E-06,4.403508772,0.456140351,0.004400855,0.307692308,0.042307692
Charadrius dubius,5.48E-07,1.42E-06,2.719298246,0.385964912,0.003714468,0.304545455,0.031818182
Falco vespertinus,3.62E-08,2.58E-07,0.403508772,0.140350877,0.0017154,0.1375,0.0125
Sitta europaea,2.13E-07,1.73E-06,0.701754386,0.122807018,0.007834038,0.257142857,0.014285714
Sympetrum sanguineum,1.53E-07,2.90E-06,0.666666667,0.052631579,0.019230761,0.266666667,0.133333333
Amandava amandava,1.41E-09,8.06E-08,0.01754386,0.01754386,0.000806394,0.1,0
Anas crecca,1.99E-06,3.15E-06,9.947368421,0.631578947,0.009349875,0.452777778,0.091666667
Locustella luscinioides,1.32E-07,1.08E-06,0.438596491,0.122807018,0.003618638,0.242857143,0
Sterna hirundo,4.93E-07,1.22E-06,5.719298246,0.403508772,0.005736066,0.4,0.060869565
Tringa ochropus,2.47E-07,6.40E-07,1.421052632,0.385964912,0.003929493,0.240909091,0.009090909
Curruca melanocephala,1.15E-06,2.34E-06,7.543859649,0.49122807,0.005641095,0.342857143,0.085714286
Cygnus olor,2.06E-06,5.09E-06,10.15789474,0.403508772,0.017654563,0.582608696,0.152173913
Numenius arquata,8.43E-07,2.00E-06,7.298245614,0.421052632,0.005844867,0.408333333,0.120833333
Pararge aegeria,1.65E-07,5.55E-07,0.771929825,0.298245614,0.00485366,0.182352941,0
Podarcis muralis,3.25E-07,1.32E-06,1.157894737,0.245614035,0.010374044,0.192857143,0.014285714
Spinus spinus,3.80E-07,1.35E-06,1.421052632,0.280701754,0.006917762,0.25625,0.00625
Circaetus gallicus,1.35E-07,9.65E-07,0.789473684,0.140350877,0.0049279,0.2875,0.0125
Fringilla montifringilla,6.83E-08,5.56E-07,0.263157895,0.122807018,0.00399274,0.128571429,0
Ichthyaetus melanocephalus,4.73E-07,1.17E-06,3.192982456,0.403508772,0.003515695,0.317391304,0.034782609
Regulus ignicapilla,2.38E-07,7.97E-07,1.105263158,0.298245614,0.004346561,0.188235294,0.005882353
Remiz pendulinus,4.00E-07,1.14E-06,1.631578947,0.350877193,0.003639355,0.245,0.005
Vanellus vanellus,1.02E-06,1.88E-06,5.719298246,0.543859649,0.004809336,0.341935484,0.05483871
Alauda arvensis,4.91E-07,1.40E-06,1.894736842,0.350877193,0.004320947,0.295,0.005
Aythya ferina,1.29E-06,2.73E-06,6.50877193,0.473684211,0.008965135,0.462962963,0.062962963
Dama dama,1.94E-08,3.68E-07,0.368421053,0.052631579,0.003120771,0.2,0.033333333
Emberiza calandra,5.78E-07,1.50E-06,3.140350877,0.385964912,0.006687474,0.368181818,0.036363636
Mareca strepera,1.51E-06,2.97E-06,6.807017544,0.50877193,0.007829663,0.462068966,0.051724138
Netta rufina,8.17E-07,2.45E-06,3.280701754,0.333333333,0.011711285,0.273684211,0.057894737
Pimelia bipunctata,4.27E-08,1.22E-06,0.192982456,0.035087719,0.008483435,0.35,0
Ptyonoprogne rupestris,9.97E-08,1.14E-06,0.456140351,0.087719298,0.007201556,0.24,0.02
Recurvirostra avosetta,8.42E-07,1.78E-06,9.333333333,0.473684211,0.005999516,0.414814815,0.122222222
Spatula querquedula,4.39E-07,1.25E-06,2.210526316,0.350877193,0.004321873,0.335,0.01
Sympetrum fonscolombii,1.38E-07,4.61E-07,1.01754386,0.298245614,0.003159457,0.211764706,0.005882353
Tringa totanus,9.18E-07,1.87E-06,7.596491228,0.49122807,0.006202775,0.414285714,0.103571429
Calandrella brachydactyla,2.76E-08,3.15E-07,0.105263158,0.087719298,0.00315165,0.12,0
Charadrius hiaticula,5.03E-07,1.37E-06,3.614035088,0.368421053,0.004356043,0.347619048,0.038095238
