specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO,cluster,distance,clusterunif
Araneus angulatus,-0.572052086,-0.569608267,-0.57016467,-1.052708643,-0.097984654,-0.739650442,-0.58339642,5,0.378937852,low
Turdus iliacus,-0.526219129,-0.304219956,-0.533902872,-0.888281979,-0.098219816,-0.539600993,-0.58339642,5,0.379449171,low
Eristalinus taeniops,-0.577256124,-0.67214452,-0.57016467,-1.052708643,-0.443121854,-1.13974934,-0.58339642,5,0.397427807,low
Hippolais polyglotta,-0.461222818,-0.477165833,-0.439622198,-0.312788654,-0.413419723,-0.194061037,-0.58339642,5,0.398047337,low
Emys orbicularis,-0.577952329,-0.771204016,-0.57016467,-0.970495311,-0.776556285,-1.13974934,-0.58339642,5,0.398148762,low
"Erinaceus Linnaeus,",-0.577152611,-0.670104982,-0.57379085,-1.052708643,-0.436256764,-1.13974934,-0.58339642,5,0.399153146,low
Hieraaetus pennatus,-0.498705087,-0.578397823,-0.475883996,-0.395001986,-0.264481379,-0.179511986,-0.58339642,5,0.400950606,low
Lepomis gibbosus,-0.576989476,-0.666890706,-0.57016467,-1.052708643,-0.425437506,-1.13974934,-0.58339642,5,0.400998865,low
Agrius convolvuli,-0.574217592,-0.810043108,-0.562912311,-0.806068647,-0.907288731,-1.13974934,-0.58339642,5,0.409147418,low
Zoropsis spinimana,-0.580628135,-0.73858396,-0.57379085,-1.052708643,-0.666757121,-1.13974934,-0.58339642,5,0.41143141,low
Gavia stellata,-0.55310929,-0.569131207,-0.555659951,-0.888281979,-0.919995259,-1.13974934,-0.58339642,5,0.412925701,low
Polistes dominula,-0.575643502,-0.791129374,-0.562912311,-0.888281979,-0.897214579,-1.13974934,-0.58339642,5,0.427144208,low
Acrocephalus melanopogon,-0.422393779,-0.277682267,-0.468631636,-0.395001986,-0.540380269,-0.179511986,-0.58339642,5,0.442528233,low
Helicoverpa armigera,-0.579570108,-0.792454315,-0.56653849,-0.970495311,-0.854325331,-1.13974934,-0.58339642,5,0.445968329,low
Tadorna ferruginea,-0.565195576,-0.815044294,-0.541155232,-0.55942865,-0.985144746,-1.13974934,-0.58339642,5,0.455601981,low
Euplagia quadripunctaria,-0.578225447,-0.816565674,-0.56653849,-0.888281979,-0.929243702,-1.13974934,-0.58339642,5,0.460451525,low
Saturnia pavoniella,-0.581753907,-0.760765294,-0.559286131,-1.052708643,-0.955777558,-0.339551545,-0.58339642,5,0.463759984,low
Acrida ungarica,-0.572603554,-0.821416686,-0.552033771,-0.723855314,-0.995024542,-1.13974934,-0.58339642,5,0.464329858,low
Silurus glanis,-0.584909323,-0.70398616,-0.57741703,-1.134921975,-0.550300868,-1.13974934,-0.58339642,5,0.464333638,low
Ameiurus,-0.582646242,-0.778347146,-0.57379085,-1.052708643,-0.80060007,-1.13974934,-0.58339642,5,0.471640862,low
Meles meles,-0.583070756,-0.864299745,-0.562912311,-0.888281979,-1.089916666,-0.939699891,-0.58339642,5,0.483500886,low
Tropidopola cylindrica,-0.58286614,-0.623471653,-0.562912311,-1.134921975,-0.922362989,-0.339551545,-0.58339642,5,0.490154545,low
Eobania vermiculata,-0.532087529,-0.478004103,-0.523024333,-0.806068647,-0.964671871,-0.339551545,-0.133219949,5,0.491977152,low
Cacyreus marshalli,-0.583293259,-0.791095468,-0.57379085,-1.052708643,-0.843510943,-1.13974934,-0.58339642,5,0.499200201,low
Columba oenas,-0.565896495,-0.832207011,-0.541155232,-0.477215318,-1.002493602,-1.13974934,-0.58339642,5,0.500310869,low
Curruca subalpina,-0.581429879,-0.816883281,-0.57016467,-0.970495311,-0.930312767,-1.13974934,-0.58339642,5,0.507514933,low
Botaurus stellaris,-0.404424462,-0.416876313,-0.443248378,-0.066148658,-0.28700856,-0.511022501,-0.422619109,5,0.515120229,low
Hipparchia statilinus,-0.586472554,-0.765587508,-0.57379085,-1.134921975,-0.757651108,-1.13974934,-0.58339642,5,0.521024539,low
Mugilidae indet.,-0.580295581,-0.836959824,-0.56653849,-0.888281979,-0.997890445,-1.13974934,-0.58339642,5,0.525791217,low
Anthus trivialis,-0.463552894,-0.105200641,-0.494014895,-0.723855314,-0.368474644,-0.206185246,-0.58339642,5,0.526916237,low
Erythromma viridulum,-0.578463145,-0.695926719,-0.57016467,-1.052708643,-0.923561866,-1.13974934,-0.58339642,5,0.527307013,low
Coreus marginatus,-0.489082602,-0.440126801,-0.504893434,-0.55942865,0.144105384,-0.739650442,-0.58339642,5,0.531419977,low
Acrocephalus schoenobaenus,-0.39638497,-0.43075659,-0.443248378,0.016064674,-0.492747748,-0.499591104,-0.58339642,5,0.540481253,low
Chalcolestes parvidens,-0.582667372,-0.615638905,-0.57741703,-1.134921975,-0.252923858,-1.13974934,-0.58339642,5,0.54573927,low
Anthus cervinus,-0.580898104,-0.842895638,-0.56653849,-0.888281979,-1.017870404,-1.13974934,-0.58339642,5,0.546737302,low
Rana dalmatina,-0.584402189,-0.812944946,-0.57379085,-1.052708643,-0.917056323,-1.13974934,-0.58339642,5,0.555757143,low
Clangula hyemalis,-0.58065588,-0.806716439,-0.562912311,-0.970495311,-0.996151084,-1.13974934,-0.58339642,5,0.556905205,low
Arachnocephalus vestitus,-0.586990878,-0.786012827,-0.57741703,-1.134921975,-0.826402767,-1.13974934,-0.58339642,5,0.561074793,low
Monticola solitarius,-0.581405011,-0.753890923,-0.555659951,-1.052708643,-1.078759947,-0.339551545,-0.58339642,5,0.576009064,low
Ematurga atomaria,-0.533742158,-0.491044707,-0.548407592,-0.806068647,0.166460422,-0.819670222,-0.58339642,5,0.578708325,low
Argiope lobata,-0.587224269,-0.795209922,-0.57741703,-1.134921975,-0.857360204,-1.13974934,-0.58339642,5,0.582267028,low
Mesosa curculionoides,-0.587224269,-0.795209922,-0.57741703,-1.134921975,-0.857360204,-1.13974934,-0.58339642,5,0.582267028,low
Vanessa cardui,-0.479520353,-0.649161119,-0.425117479,0.016064674,-0.441596056,-0.446244584,-0.283278773,5,0.589829354,low
Anax parthenope,-0.524415057,-0.417535169,-0.530276693,-0.806068647,0.093582378,-0.339551545,-0.58339642,5,0.594598804,low
Acanthocardia tuberculata,-0.583529931,-0.844468465,-0.57016467,-0.970495311,-1.023164543,-1.13974934,-0.58339642,5,0.59849065,low
Cerambyx cerdo,-0.587406508,-0.802391294,-0.57741703,-1.134921975,-0.881532714,-1.13974934,-0.58339642,5,0.600264895,low
Calidris alba,-0.473166479,-0.651807586,-0.439622198,0.098278006,-0.470171339,-0.539600993,-0.58339642,5,0.601402453,low
Acrocephalus palustris,-0.488378375,-0.436657917,-0.494014895,-0.55942865,-0.355655477,0.060547353,-0.58339642,5,0.625462628,low
Anacridium aegyptium,-0.490205753,-0.445659219,-0.501267254,-0.55942865,0.219130778,-0.639625718,-0.58339642,5,0.636744316,low
Sylvia borin,-0.366181288,-0.136688874,-0.454126917,-0.312788654,-0.274866794,-0.266806291,-0.378770752,5,0.645000145,low
Glareola pratincola,-0.578033207,-0.814671805,-0.552033771,-0.888281979,-1.134424686,-1.13974934,-0.58339642,5,0.655427035,low
Aedes albopictus,-0.586077209,-0.845948225,-0.57379085,-1.052708643,-1.028145417,-1.13974934,-0.58339642,5,0.663511339,low
Crocothemis erythraea,-0.425072916,-0.533357886,-0.417865119,0.098278006,-0.381379656,-0.489588631,-0.442716273,5,0.664133488,low
Satyrium ilicis,-0.564967516,-0.430019481,-0.559286131,-1.052708643,0.045475049,-0.339551545,-0.58339642,5,0.669640341,low
Caretta caretta,-0.587910491,-0.902009189,-0.562912311,-0.970495311,-1.216846717,-0.873016741,-0.58339642,5,0.671547595,low
Lanius collurio,-0.404928974,-0.453202498,-0.359846243,0.016064674,-0.42719426,-0.286205025,-0.433337597,5,0.691543873,low
Dama dama,-0.568794157,-0.650907082,-0.504893434,-0.970495311,-0.52150638,-0.339551545,0.166897698,5,0.717563327,low
Lindenia tetraphylla,-0.587650829,-0.812019121,-0.559286131,-1.134921975,-1.132509522,-0.339551545,-0.58339642,5,0.728331863,low
Periparus ater,-0.385170689,-0.2661475,-0.483136355,-0.230575322,0.083674944,-0.606284143,-0.58339642,5,0.732348586,low
Athene noctua,-0.481714165,-0.688684892,-0.468631636,0.180491338,-0.702243435,-0.81025613,-0.58339642,5,0.747020698,low
Bacillus rossius,-0.588709506,-0.853737782,-0.57741703,-1.134921975,-1.054365077,-1.13974934,-0.58339642,5,0.766004794,low
