"specie","A","Aloc","IntraDO","InterDO","E","TR","TRMO","cluster","distance","clusterunif"
"Pernis apivorus",-0.357977916,-0.36810952,-0.417865119,0.098278006,-0.062442026,-0.289539183,-0.58339642,5,1.054029983,"low"
"Phalacrocorax carbo",5.062593802,4.362535522,4.789329046,2.23582464,3.47208485,2.499245395,4.132738038,3,0.074331276,"high"
"Phasianus colchicus",0.432460602,0.811538463,0.633727017,0.673771331,0.437752894,1.330426462,1.373892584,1,1.23143676,"high"
"Phoenicurus ochruros",0.269449516,0.117647144,0.213090162,1.413691319,-0.239599596,0.46064625,0.049664242,6,1.832433358,"medium"
"Phylloscopus collybita",1.117803427,0.830104528,0.91656904,1.906971312,0.349552081,0.987092168,0.838213488,1,0.732578928,"high"
"Phylloscopus trochilus",-0.234513302,-0.273042572,-0.348967704,0.509344666,-0.384308862,-0.530074829,-0.58339642,5,1.632228349,"low"
"Pica pica",2.97400043,2.660209369,2.831191964,1.989184644,0.709719218,1.876380811,2.994929375,2,2.087563943,"high"
"Picus viridis",0.710859011,1.110091743,0.535820163,0.838197995,0.429456332,0.908757016,1.127274169,1,0.876760769,"high"
"Pimelia bipunctata",-0.542179409,0.018979392,-0.541155232,-1.052708643,0.904013239,0.860745148,-0.58339642,6,3.111988313,"medium"
"Plegadis falcinellus",-0.16514912,-0.058774932,-0.08425658,0.344918002,-0.252149733,0.165836536,0.127408534,6,0.580733146,"medium"
"Pluvialis squatarola",0.219706135,0.579298504,0.41615623,0.509344666,0.157783677,1.718099928,0.595637194,6,2.871792048,"medium"
"Podarcis muralis",-0.220037176,0.102126765,-0.341715344,-0.066148658,1.406580743,-0.39670853,-0.261841798,6,1.851223433,"medium"
"Podiceps cristatus",2.539195588,2.391833477,2.544723761,1.824757979,2.384663492,2.363819384,2.397501833,2,0.464833139,"high"
"Podiceps nigricollis",0.159443688,0.15330418,0.568455781,1.002624659,0.086731533,0.727378849,0.833825803,6,1.977959039,"medium"
"Polyommatus icarus",-0.367659472,-0.313392263,-0.377977142,-0.066148658,0.12791032,-0.568179486,-0.261841798,5,1.030669087,"low"
"Procambarus clarkii",-0.447512603,-0.235361189,-0.475883996,-0.55942865,0.9269943,0.060547353,-0.58339642,6,1.865041116,"medium"
"Prunella modularis",-0.180274933,-0.132733296,-0.294575007,0.427131334,-0.221408029,-0.059482316,-0.58339642,6,1.009594159,"medium"
"Ptyonoprogne rupestris",-0.477011524,-0.043934449,-0.486762535,-0.806068647,0.563260341,-0.019472427,-0.133219949,6,1.833847936,"medium"
"Recurvirostra avosetta",0.370566192,0.46143686,1.348084434,1.002624659,0.243730541,1.379391867,2.167682013,1,2.158658326,"high"
"Regulus ignicapilla",-0.319402116,-0.31244154,-0.352593883,0.180491338,-0.195663108,-0.433692462,-0.450991576,5,1.0491744,"low"
"Remiz pendulinus",-0.133850112,-0.041261493,-0.24380849,0.427131334,-0.383654588,0.020537463,-0.470852303,6,1.005490431,"medium"
"Riparia riparia",-0.344346109,-0.430433462,-0.309079726,0.344918002,-0.5638441,-0.128973178,-0.346461436,5,1.442245495,"low"
"Saxicola rubetra",-0.386442715,-0.538950021,-0.298201187,0.427131334,-0.50755731,-0.299541655,-0.358308185,5,1.415614118,"low"
"Saxicola rubicola",0.407869639,0.370104214,0.358137354,1.249264655,0.241334382,0.914091668,0.091868286,6,1.669579215,"medium"
"Serinus serinus",0.341184029,0.418553678,0.274735219,1.002624659,0.192047941,0.875563626,-0.083200342,6,1.129489807,"medium"
"Silurus glanis",-0.584909323,-0.70398616,-0.57741703,-1.134921975,-0.550300868,-1.13974934,-0.58339642,5,0.464333638,"low"
"Sitta europaea",-0.348020563,0.425660544,-0.435996018,-0.641641982,0.731388608,0.117704338,-0.261841798,6,1.417520525,"medium"
"Spatula clypeata",1.614980192,1.862230502,1.333579715,1.331477987,1.042157006,1.983603344,1.304440393,1,1.590203069,"high"
"Spatula querquedula",-0.089274816,0.046566153,-0.124144557,0.427131334,-0.202225644,0.740715479,-0.358308185,6,0.632706166,"medium"
"Spinus spinus",-0.156701119,0.127615373,-0.287322647,0.098278006,0.487821312,0.110559715,-0.442716273,6,0.317924218,"medium"
"Sterna hirundo",-0.027837948,0.022898522,0.601091399,0.673771331,0.173699486,1.260844045,0.786705883,6,2.191205007,"medium"
"Streptopelia decaocto",1.313604229,0.934400121,1.518514883,2.071397976,0.080397385,1.28084899,1.498669758,1,1.169047199,"high"
"Streptopelia turtur",0.089478835,-0.017297509,0.165949825,1.167051323,-0.027758916,0.433053223,0.037536643,6,1.031853134,"medium"
"Sturnus vulgaris",1.786163916,1.399947276,1.612795558,2.071397976,0.499511328,1.220834156,1.667485935,1,1.592522748,"high"
"Sylvia atricapilla",1.160446198,1.522973271,0.887559602,1.084837991,0.916156495,1.546628972,1.104765346,1,0.452019592,"high"
"Sympetrum fonscolombii",-0.433745195,-0.577491631,-0.370724782,0.180491338,-0.511222759,-0.245410628,-0.450991576,5,0.920364036,"low"
"Sympetrum sanguineum",-0.416544367,1.34896604,-0.443248378,-0.970495311,3.760899971,0.193913652,2.417780053,6,20.72205744,"medium"
"Sympetrum striolatum",-0.485366798,-0.621848319,-0.497641075,-0.14836199,-0.403768134,-0.95508831,-0.58339642,5,0.358603155,"low"
"Tachybaptus ruficollis",2.41686482,2.1772456,1.775973648,1.906971312,2.006390177,1.87152131,1.785953427,2,0.859591442,"high"
"Tadorna tadorna",0.78189983,0.803239668,1.833992524,1.331477987,0.971162836,2.086854672,2.103140584,1,2.291064562,"high"
"Tarentola mauritanica",-0.546176523,-0.589043474,-0.486762535,-0.806068647,-0.339724517,0.300606691,-0.58339642,5,1.025428668,"low"
"Threskiornis aethiopicus",-0.147913924,0.085072342,-0.087882759,0.180491338,0.153699318,0.366505333,0.078627802,6,0.123224707,"medium"
"Tringa erythropus",0.239505257,0.367117156,0.865802523,0.838197995,-0.072958327,1.388875693,1.667485935,1,2.276872132,"high"
