specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Jynx torquilla,-0.3831057,-0.31307209,-0.41714546,-0.14798291,0.17604865,-0.21578768,-0.58265203,1,medium
Pernis apivorus,-0.35714486,-0.36716184,-0.41714546,0.098812871,-0.061769813,-0.28893954,-0.58265203,1,medium
Phylloscopus trochilus,-0.23331217,-0.27184892,-0.34817579,0.51013917,-0.38375112,-0.52966231,-0.58265203,1,medium
Polyommatus icarus,-0.36685526,-0.31230301,-0.37721565,-0.065717652,0.12865023,-0.56779659,-0.26071054,1,medium
Turdus philomelos,-0.1127691,0.048648793,-0.23564635,0.34560865,0.035103697,0.25108731,-0.46404198,1,medium
Gelochelidon nilotica,-0.46754673,-0.65681458,-0.37721565,0.18107814,-0.73950481,-0.33899081,-0.58265203,1,medium
Haematopus ostralegus,-0.36739528,-0.50240314,-0.14489679,0.42787391,-0.53326088,-0.058703698,-0.13193396,1,medium
Oxythyrea funesta,-0.38601372,-0.3662079,-0.39173558,-0.065717652,0.35674047,-0.4533937,-0.42168128,1,medium
Prunella modularis,-0.17891212,-0.13117665,-0.29372606,0.42787391,-0.22079235,-0.058703698,-0.58265203,1,medium
Acrocephalus schoenobaenus,-0.39566642,-0.42997098,-0.44255534,0.016547609,-0.49222857,-0.49915487,-0.58265203,1,medium
Athene noctua,-0.48124999,-0.68856657,-0.46796522,0.18107814,-0.70179874,-0.81006157,-0.58265203,1,medium
Botaurus stellaris,-0.40372986,-0.41605479,-0.44255534,-0.065717652,-0.2864162,-0.51059514,-0.42168128,1,medium
Calidris alba,-0.47267681,-0.65159386,-0.43892536,0.098812871,-0.46964413,-0.5391959,-0.58265203,1,medium
Calidris ferruginea,-0.22080128,-0.085077189,-0.13037686,0.18107814,-0.52047235,0.084972881,0.080168664,1,medium
Certhia brachydactyla,-0.24803521,0.0220137,-0.33728585,-0.065717652,0.12410384,0.51903093,-0.58265203,1,medium
Linaria cannabina,-0.096386455,0.20320615,-0.17393665,0.18107814,0.10616565,0.32050827,0.080168664,1,medium
Maniola jurtina,-0.27988926,-0.22199078,-0.34817579,0.18107814,0.27692389,-0.29188374,-0.31752375,1,medium
Tringa stagnatilis,-0.48207983,-0.61297089,-0.304616,-0.14798291,-0.64513522,0.030618563,-0.062592708,1,medium
Vanessa atalanta,-0.21846689,-0.17048465,-0.25016627,0.34560865,0.59303617,-0.25469393,-0.22682196,1,medium
Aythya nyroca,-0.11393802,0.1011504,-0.23201637,0.26334339,-0.44680655,0.15039937,-0.20705363,1,medium
Colias crocea,-0.3785063,-0.47782704,-0.38084564,0.26334339,-0.11471225,-0.42797083,-0.58265203,1,medium
Colias croceus,-0.3785063,-0.47782704,-0.38084564,0.26334339,-0.11471225,-0.42797083,-0.58265203,1,medium
Limosa limosa,-0.32039568,-0.35065854,-0.21023647,0.26334339,-0.39222908,0.1948894,-0.081854165,1,medium
Ochlodes sylvanus,-0.30392995,-0.073163815,-0.37358567,-0.14798291,1.1195953,-0.030982997,-0.4092989,1,medium
Phoenicurus phoenicurus,-0.39599699,-0.53854138,-0.33728585,0.34560865,-0.28577161,-0.76047516,-0.34543198,1,medium
Regulus regulus,-0.3815625,-0.45757931,-0.41714546,0.18107814,-0.53556377,-0.48031202,-0.45008788,1,medium
Trithemis annulata,-0.46459648,-0.32097647,-0.49337509,-0.55930924,0.33574376,-0.5391959,-0.58265203,2,low
Acrocephalus melanopogon,-0.42175275,-0.27650061,-0.46796522,-0.3947787,-0.53987801,-0.17882675,-0.58265203,2,low
Hieraaetus pennatus,-0.49829155,-0.57799417,-0.47522518,-0.3947787,-0.26388103,-0.17882675,-0.58265203,2,low
Coracias garrulus,-0.54452473,-0.68197656,-0.50426501,-0.6415745,-0.75210339,-0.33899081,-0.58265203,2,low
Tarentola mauritanica,-0.54590452,-0.58866739,-0.48611513,-0.80610502,-0.33915091,0.30166543,-0.58265203,2,low
Lasiommata megera,-0.42127335,-0.10765908,-0.46796522,-0.55930924,0.53071773,-0.33899081,-0.30095321,2,low
Papilio machaon,-0.50843769,-0.64745748,-0.43892536,-0.31251344,-0.60253608,-0.26618895,-0.58265203,2,low
Locustella luscinioides,-0.43934754,-0.090115227,-0.48974511,-0.6415745,-0.3886058,0.004217894,-0.58265203,2,low
Circaetus gallicus,-0.43570772,-0.17873195,-0.41714546,-0.55930924,-0.040449966,0.36172694,-0.30095321,2,low
Fringilla montifringilla,-0.51256353,-0.50212204,-0.52604491,-0.6415745,-0.28912547,-0.91100526,-0.58265203,2,low
Dama dama,-0.56858957,-0.65069103,-0.50426501,-0.97063553,-0.52099741,-0.33899081,0.16854475,2,low
Ptyonoprogne rupestris,-0.47653332,-0.042148072,-0.48611513,-0.80610502,0.5641551,-0.018662686,-0.13193396,2,low
Procambarus clarkii,-0.44694647,-0.23407006,-0.47522518,-0.55930924,0.92801839,0.061419342,-0.58265203,2,low
Sympetrum striolatum,-0.4849135,-0.62155706,-0.49700508,-0.14798291,-0.40321732,-0.95500642,-0.58265203,2,low
