specie,a,aloc,intrado,interdo,e,tr,trmo,prevalence
Apis mellifera,-0.38154271,-0.42722777,-0.39173558,0.098812871,0.12769492,-0.58924711,-0.44180262,0.5
Falco subbuteo,-0.2570394,-0.16904505,-0.26105621,0.18107814,0.14454545,0.36761534,-0.58265203,0.5
Numenius phaeopus,-0.39442831,-0.51267052,-0.35906574,0.26334339,-0.70940357,-0.20552075,-0.45745254,0.5
Oriolus oriolus,-0.11609066,-0.16327652,-0.21386646,0.75693494,-0.093689144,-0.13878573,-0.48875242,0.5
Vanessa cardui,-0.47904962,-0.64894056,-0.42440543,0.016547609,-0.4410587,-0.44576684,-0.28217331,0.5
Charadrius alexandrinus,-0.2324362,-0.32865965,-0.11948691,0.67466968,-0.40344647,0.11364675,-0.09274108,0.5
Jynx torquilla,-0.3831057,-0.31307209,-0.41714546,-0.14798291,0.17604865,-0.21578768,-0.58265203,0.5
Pernis apivorus,-0.35714486,-0.36716184,-0.41714546,0.098812871,-0.061769813,-0.28893954,-0.58265203,0.5
Phylloscopus trochilus,-0.23331217,-0.27184892,-0.34817579,0.51013917,-0.38375112,-0.52966231,-0.58265203,0.5
Polyommatus icarus,-0.36685526,-0.31230301,-0.37721565,-0.065717652,0.12865023,-0.56779659,-0.26071054,0.5
Turdus philomelos,-0.1127691,0.048648793,-0.23564635,0.34560865,0.035103697,0.25108731,-0.46404198,0.5
Gelochelidon nilotica,-0.46754673,-0.65681458,-0.37721565,0.18107814,-0.73950481,-0.33899081,-0.58265203,0.5
Haematopus ostralegus,-0.36739528,-0.50240314,-0.14489679,0.42787391,-0.53326088,-0.058703698,-0.13193396,0.5
Oxythyrea funesta,-0.38601372,-0.3662079,-0.39173558,-0.065717652,0.35674047,-0.4533937,-0.42168128,0.5
Prunella modularis,-0.17891212,-0.13117665,-0.29372606,0.42787391,-0.22079235,-0.058703698,-0.58265203,0.5
Acrocephalus schoenobaenus,-0.39566642,-0.42997098,-0.44255534,0.016547609,-0.49222857,-0.49915487,-0.58265203,0.5
Athene noctua,-0.48124999,-0.68856657,-0.46796522,0.18107814,-0.70179874,-0.81006157,-0.58265203,0.5
Botaurus stellaris,-0.40372986,-0.41605479,-0.44255534,-0.065717652,-0.2864162,-0.51059514,-0.42168128,0.5
Calidris alba,-0.47267681,-0.65159386,-0.43892536,0.098812871,-0.46964413,-0.5391959,-0.58265203,0.5
Calidris ferruginea,-0.22080128,-0.085077189,-0.13037686,0.18107814,-0.52047235,0.084972881,0.080168664,0.5
Certhia brachydactyla,-0.24803521,0.0220137,-0.33728585,-0.065717652,0.12410384,0.51903093,-0.58265203,0.5
Linaria cannabina,-0.096386455,0.20320615,-0.17393665,0.18107814,0.10616565,0.32050827,0.080168664,0.5
Maniola jurtina,-0.27988926,-0.22199078,-0.34817579,0.18107814,0.27692389,-0.29188374,-0.31752375,0.5
Tringa stagnatilis,-0.48207983,-0.61297089,-0.304616,-0.14798291,-0.64513522,0.030618563,-0.062592708,0.5
Vanessa atalanta,-0.21846689,-0.17048465,-0.25016627,0.34560865,0.59303617,-0.25469393,-0.22682196,0.5
Aythya nyroca,-0.11393802,0.1011504,-0.23201637,0.26334339,-0.44680655,0.15039937,-0.20705363,0.5
Colias crocea,-0.3785063,-0.47782704,-0.38084564,0.26334339,-0.11471225,-0.42797083,-0.58265203,0.5
Colias croceus,-0.3785063,-0.47782704,-0.38084564,0.26334339,-0.11471225,-0.42797083,-0.58265203,0.5
Limosa limosa,-0.32039568,-0.35065854,-0.21023647,0.26334339,-0.39222908,0.1948894,-0.081854165,0.5
Ochlodes sylvanus,-0.30392995,-0.073163815,-0.37358567,-0.14798291,1.1195953,-0.030982997,-0.4092989,0.5
Phoenicurus phoenicurus,-0.39599699,-0.53854138,-0.33728585,0.34560865,-0.28577161,-0.76047516,-0.34543198,0.5
Regulus regulus,-0.3815625,-0.45757931,-0.41714546,0.18107814,-0.53556377,-0.48031202,-0.45008788,0.5
