species,nr_occs,code
Linepithema humile,1,1316908
Lissotriton vulgaris,1,5218405
Locusta migratoria,1,1713418
Lucanus cervus,1,5743122
Luscinia svecica,1,4408732
Megascolia maculata,1,4505917
Meles meles,1,2433875
Mergus merganser,1,9537647
Mesosa curculionoides,1,8062927
Milesia crabroniformis,1,5979478
Milvus milvus,1,5229168
Morimus asper,1,1119292
Mugilidae indet.,1,8473
Myathropa florea,1,4516754
Neoscona subfusca,1,2158854
Nepa cinerea,1,5152456
Nezara viridula,1,2078852
Nycterosea obstipata,1,1970512
Nymphalis polychloros,1,7762841
Ochlodes sylvanus,1,1946844
Odontotarsus robustus,1,4486013
Orthetrum brunneum,1,1428715
Pachygrapsus marmoratus,1,2225815
Palpita vitrealis,1,1889833
Panurus biarmicus,1,2493367
Pelophylax,1,2426629
Perforatus perforatus,1,9802456
Periparus ater,1,2487871
Phaneroptera nana,1,1686202
Philaeus chrysops,1,2176858
Phoenicurus phoenicurus,1,5739317
Pimelia spec.,1,1208967
Platalea leucorodia,1,2480801
Podiceps grisegena,1,2482051
Poecile palustris,1,2487843
Polygonia c-album,1,1898544
Porzana porzana,1,2474621
Puffinus yelkouan,1,5229377
Pyrgus malvoides,1,1949938
Pyrrhocorax graculus,1,2482553
Raja asterias,1,5216016
Regulus regulus,1,2484596
Rhinolophus hipposideros,1,2432614
Rhizostoma pulmo,1,5185453
Ruspolia nitidula,1,5096614
Saturnia pavoniella,1,7764232
Scarabaeus semipunctatus,1,1087445
Sceliphron caementarium,1,5041466
Sceliphron destillatorium,1,5041471
Sceliphron madraspatanum,1,5041445
Scolopax rusticola,1,2481700
Scutigera coleoptrata,1,5179027
Scytodes thoracica,1,5168969
Silurus glanis,1,2337607
Speleomantes,1,2431450
Speleomantes italicus,1,2431456
Steatoda nobilis,1,2157203
Sternula albifrons,1,5789279
Sympecma fusca,1,1424207
Tadorna ferruginea,1,2498015
Triodia sylvina,1,6097236
Tropidopola cylindrica,1,1709422
Turdus iliacus,1,2490781
Turdus pilaris,1,2490737
Vespa velutina,1,1311477
Xylocopa violacea,1,1342108
Zapornia parva,1,9272513
Zoropsis spinimana,1,2153287
